产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
193772404,定宏医疗,100片,数量：10*价格：6.29,2026-04-30,10,1679,6.29,16041
262108913,广州定嘉,100片,数量：6*价格：6.8,2026-05-31,6,190,6.8,1140
230711967,总健,100片,"数量：10*价格：6.7,数量：20*价格：6.6",2026-05-06,30,77,6.7,1066
267246237,利安堂,100片,数量：10*价格：6.8,2026-08-31,4570,29,6.8,430
267671423,河南旭贞,100片,数量：1000*价格：0.08,2026-06-30,97000,3,0.08,3000
259879919,晨惠旗舰店,100片,"数量：10*价格：5.8,数量：20*价格：5.7,数量：100*价格：5.69",2026-02-01,650,15,5.8,3230
133391428,叶丰源,100片,数量：10*价格：6.8,2026-08-31,8000,177,6.8,2043
199458662,希尔康,100片,"数量：10*价格：7.6,数量：20*价格：7.5,数量：40*价格：7.3,数量：100*价格：7.1",2026-09-01,100,18,7.6,1640
223959417,叶丰源,100片,"数量：10*价格：6.8,数量：100*价格：6.75",2026-08-31,2000,19,6.8,1256
195352710,壹佰益,100片,数量：10*价格：6.8,2026-02-28,10,549,6.8,9140
175076174,一本医疗,100片,"数量：1*价格：9.99,数量：10*价格：6.88",2026-05-31,50,218,9.99,4091
257127393,同瑞健,100片,"数量：10*价格：5.79,数量：20*价格：5.69,数量：100*价格：5.64",2026-03-31,8520,69,5.79,1020
257071623,药店品种预约中心,100片,数量：10*价格：5.9,2026-04-30,1000,2,5.9,530
259953358,东莞八贤堂,100片,"数量：6*价格：6.95,数量：10*价格：6.9,数量：30*价格：6.85,数量：50*价格：6.8",2026-06-30,100,225,6.95,2533
197714374,康百川,100片,数量：8*价格：5.88,2026-04-30,20,196,5.88,1521
226479699,瑞恩医疗,100片,数量：15*价格：5.99,2026-02-28,7403,30,5.99,6610
266729258,希尔康,100片,"数量：10*价格：7.6,数量：20*价格：7.5,数量：40*价格：7.3,数量：100*价格：7.1",2026-09-01,100,6,7.6,300
158581863,慈康医疗,100片,数量：10*价格：7.9,2026-02-01,999,616,7.9,7128
208718141,惠桢药业,100片,数量：10*价格：6.4,2026-04-15,100,106,6.4,1327
260055140,广州源海,100片,"数量：10*价格：6.8,数量：20*价格：6.68",2026-01-01,4415,16,6.8,585
259115098,一本医疗,100片,数量：10*价格：5.78,2026-02-28,100,24,5.78,395
217811762,慷济医疗,100片,数量：20*价格：6.69,2026-01-01,20,685,6.69,14720
195296235,同瑞健,100片,数量：10*价格：6.99,2026-02-28,10,231,6.99,2310
256019088,满好医疗,100片,数量：18*价格：6.6,2026-08-31,100,26,6.6,556
246647916,慷之旗舰店,100片,"数量：10*价格：5.2,数量：20*价格：4.7,数量：50*价格：4.5,数量：100*价格：4.3",2024-02-20,200,6,5.2,295
226132995,江西省战狼商贸,100片,数量：10*价格：6.78,2026-06-11,20,92,6.78,990
215486679,日照雅岚,100片,数量：20*价格：6.2,2026-04-22,100,21,6.2,521
236225753,惠州群梦医疗器械,100片,数量：26*价格：6.58,2026-07-28,78,41,6.58,1244
235133436,红马医械,100片,数量：20*价格：6.66,2026-07-31,2271,10,6.66,158
258487992,众诚医药,100片,"数量：10*价格：6.4,数量：20*价格：6.2",2026-04-15,100,3,6.4,230
258411991,佛山诺康,100片,数量：10*价格：6.98,2026-07-31,30,76,6.98,1170
262108920,广州定嘉,100片,数量：6*价格：5.88,2026-03-01,12,22,5.88,146
258607653,日照雅岚,100片,"数量：10*价格：6.4,数量：20*价格：6.2",2026-04-22,100,20,6.4,710
256185486,贵州中弘福药业,100片,数量：30*价格：6.69,2026-08-09,41,10,6.69,320
198138619,海氏海诺,100片,数量：10*价格：6.2,2026-02-25,9475,64,6.2,525
258810273,惠仁医药,100片,"数量：10*价格：6.4,数量：20*价格：6.2",2026-04-22,100,5,6.4,350
258740028,湖南美雅,100片,"数量：10*价格：6.4,数量：20*价格：6.2",2026-04-22,100,7,6.4,530
258810271,惠仁医药,100片,"数量：10*价格：6.4,数量：20*价格：6.2",2026-04-22,100,2,6.4,200
257466846,佛山一药旗舰店,100片,数量：10*价格：6.98,2026-08-31,100,22,6.98,500
194446162,肯爱大健康,100片,数量：10*价格：6.8,2026-02-28,1000,60,6.8,830
205812610,慷济医疗,100片,数量：20*价格：6.68,2026-01-01,20,6,6.68,100
267263751,樟树市永盛商贸,100片,数量：10*价格：7.0,2026-09-01,4844,7,7.0,80
215586643,仁信,100片,数量：25*价格：6.8,2026-04-30,2361,3,6.8,100
250302351,总健,100片,数量：10*价格：6.7,2026-06-30,30,22,6.7,275
210248854,壹佰益,100片,数量：10*价格：6.5,2026-03-31,1000,31,6.5,396
196042503,云旭旗舰店,100片,数量：20*价格：6.99,2026-04-28,99939,3,6.99,60
213753922,总健,100片,"数量：1*价格：7.5,数量：10*价格：6.7,数量：20*价格：6.6",2026-06-30,20,239,7.5,2826
262435891,中恩医药,100片,数量：50*价格：6.62,2026-07-31,432,1,6.62,50
203764422,成都诚美,100片,数量：20*价格：6.8,2026-07-31,1059,9,6.8,790
213753908,总健,100片,"数量：1*价格：7.5,数量：10*价格：6.7,数量：20*价格：6.6",2026-06-30,30,18,7.5,264
255951547,,100片,数量：45*价格：6.78,2026-02-28,100,2,6.78,90
199748116,新昱康,100片,数量：10*价格：5.95,2026-02-05,500,95,5.95,1077
260552799,东莞八贤堂,100片,数量：6*价格：6.8,2026-06-30,30,6,6.8,44
219741997,湖南美雅,100片,数量：20*价格：6.2,2026-04-22,100,26,6.2,570
225540853,总健,100片,数量：5*价格：6.8,2026-05-06,20,21,6.8,150
258951873,惠桢药业,100片,"数量：10*价格：7.2,数量：20*价格：7.1",2026-08-05,10,20,7.2,240
195363652,樟树市丰超医疗器械,100片,数量：10*价格：7.2,2026-08-07,290,2,7.2,30
189270617,创盛医疗,100片,数量：10*价格：7.3,2025-03-20,8480,145,7.3,1507
169243859,为诚医疗,100片,数量：10*价格：6.99,2026-03-02,5679,43,6.99,321
185380019,嘉之源,100片,数量：10*价格：6.2,2025-04-30,100,4,6.2,31
