产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
259906300,湖南德康堂,230g,数量：6*价格：22.5,2026-06-08,3777,73,22.5,1223
259910951,洁玲,230g,"数量：6*价格：22.7,数量：48*价格：22.2",2026-06-08,1000,31,22.7,628
234825256,非药汇,230g,数量：3*价格：23.8,2026-08-24,6,134,23.8,637
248526159,鑫美康,230g,数量：9*价格：24.29,2026-08-16,144,56,24.29,798
236328032,金东药城,230g,数量：12*价格：22.6,2026-06-14,48,49,22.6,720
196233406,晋实惠,230g,数量：12*价格：23.98,2025-08-29,48,89,23.98,1539
259757225,蒙特生物,230g,数量：6*价格：26.5,2026-08-01,9889,10,26.5,110
253811565,云达医疗,230g,数量：6*价格：23.99,2026-10-10,44,4,23.99,96
259961867,晨文医药,230g,数量：6*价格：24.79,2026-09-10,480,9,24.79,90
253733389,云达医疗,230g,数量：6*价格：24.25,2026-10-10,928,62,24.25,572
270124790,药店品种预约中心,230g,"数量：6*价格：26.0,数量：10*价格：25.5,数量：18*价格：25.0",2026-08-30,546,3,26.0,62
258458600,福鄂花参燕,230g,数量：6*价格：24.5,2026-03-25,9940,1,24.5,60
195116197,湖南德康堂,230g,数量：6*价格：21.99,2026-06-08,3864,70,21.99,1136
263250681,广东森锐,230g,"数量：4*价格：27.5,数量：18*价格：26.5",2026-09-14,120,4,27.5,59
260483699,志晨医药,230g,"数量：3*价格：25.49,数量：6*价格：24.79,数量：9*价格：24.29",2026-09-12,955,12,25.49,77
200248052,同瑞健,230g,数量：6*价格：24.8,2026-06-07,6,276,24.8,2021
225639599,德润堂,230g,"数量：6*价格：23.5,数量：48*价格：23.28",2026-02-08,1000,10,23.5,128
182570168,立成医疗,230g,数量：6*价格：22.98,2026-07-14,1248,1019,22.98,8751
268922043,央拓医药,230g,数量：10*价格：23.8,2026-08-21,50,3,23.8,42
257139357,同瑞健,230g,数量：6*价格：24.8,2026-06-07,114,7,24.8,54
262489983,美东盈,230g,"数量：3*价格：25.9,数量：6*价格：25.68,数量：12*价格：25.48,数量：24*价格：23.8",2026-01-09,57,1,25.9,30
194736331,鑫创源,230g,数量：9*价格：24.2,2026-08-22,180,219,24.2,3042
252943568,志文旗舰店,230g,"数量：3*价格：25.49,数量：6*价格：24.79,数量：9*价格：24.29",2026-02-28,33,6,25.49,51
262442655,湖南德康堂,230g,数量：6*价格：22.1,2026-06-08,4970,5,22.1,30
262751663,东莞康洁,230g,"数量：4*价格：27.5,数量：8*价格：27.0,数量：18*价格：26.5",2026-09-14,360,4,27.5,50
268692773,湖南德康堂,230g,数量：6*价格：22.2,2026-01-10,8781,2,22.2,18
265163600,鑫创源,230g,数量：9*价格：24.2,2026-08-22,90,2,24.2,18
268806117,一金医疗,230g,数量：18*价格：25.5,2026-09-14,580,1,25.5,18
177436336,祥药购,230g,数量：10*价格：23.8,2025-10-09,22,3,23.8,36
194667802,壹佰益,230g,"数量：6*价格：23.95,数量：48*价格：23.9",2026-06-07,114,3,23.95,30
252950359,鑫美康,230g,"数量：3*价格：25.48,数量：6*价格：24.79,数量：9*价格：24.29",2026-08-16,72,4,25.48,18
258417020,蒙特生物,230g,数量：6*价格：26.5,2026-08-01,9959,5,26.5,40
268386868,金东药城,230g,数量：6*价格：22.8,2026-06-14,48,1,22.8,10
198295829,洁玲,230g,"数量：1*价格：27.0,数量：6*价格：23.5",2026-06-08,1000,6,27.0,28
216319795,洁玲,230g,"数量：6*价格：22.7,数量：48*价格：22.5",2026-06-08,1000,145,22.7,2814
211303053,志晨医药,230g,数量：6*价格：24.79,2026-09-12,9,52,24.79,357
256655797,昌信恒,230g,数量：6*价格：24.8,2026-06-07,6,10,24.8,60
252938921,志晨医药,230g,"数量：3*价格：25.49,数量：6*价格：24.79,数量：9*价格：24.29",2026-09-12,954,1,25.49,3
260544515,德润堂,230g,"数量：6*价格：23.0,数量：48*价格：22.5",2026-02-08,1000,0,23.0,0
194542510,洁玲,230g,数量：6*价格：23.5,2026-06-08,6,0,23.5,0
269659614,祥药购,230g,数量：10*价格：23.8,2025-10-09,22,0,23.8,0
268354244,湖北惠源,230g,数量：16*价格：23.8,2026-09-15,40,0,23.8,0
255761616,艾小七,230g,数量：6*价格：23.8,2026-08-07,147,0,23.8,0
241926765,祥药购,230g,数量：10*价格：23.8,2025-10-09,22,0,23.8,0
215638893,壹佰益,230g,数量：9*价格：23.8,2026-06-07,9,12,23.8,108
200739999,湖北惠源,230g,数量：16*价格：23.8,2026-09-15,40,3,23.8,76
183152821,湖北惠源,230g,数量：16*价格：23.8,2026-09-15,40,0,23.8,0
270510543,成都康瑞臣,230g,数量：4*价格：23.81,2026-02-09,29,0,23.81,0
269294218,紫芊,230g,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
269280754,紫芊,230g,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
268232295,紫芊,230g,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
267765900,紫芊,230g,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
255896506,紫芊,230g,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
194546251,紫芊,230g,数量：6*价格：23.9,2026-08-23,1599,0,23.9,0
269392487,晋实惠,230g,数量：12*价格：23.98,2025-08-29,48,0,23.98,0
268727496,康多多,230g,数量：10*价格：24.0,2026-09-14,200,0,24.0,0
210250905,福鄂花参燕,230g,数量：6*价格：24.0,2026-03-25,996,0,24.0,0
269248446,鑫创源,230g,数量：9*价格：24.2,2026-08-22,90,0,24.2,0
248334326,湖南凡康,230g,"数量：6*价格：24.2,数量：9*价格：23.9",2026-06-07,159,6,24.2,60
211875023,鑫创源,230g,数量：9*价格：24.2,2026-08-22,90,1,24.2,9
