产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
266077725,药店品种预约中心,250mg*200粒,数量：2*价格：59.8,2025-06-19,2,1043,59.8,2086
260216152,药店品种预约中心,250mg*200粒,数量：2*价格：59.59,2025-09-02,2,894,59.59,1788
262301649,药店品种预约中心,250mg*200粒,数量：2*价格：60.2,2025-09-02,5,548,60.2,1580
262749320,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-06-19,2,159,59.74,318
229601192,山东零采医疗器械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,377,59.75,1477
266136020,药店品种预约中心,250mg*200粒,数量：2*价格：59.95,2025-09-02,6,17,59.95,67
225004179,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-06-19,2,21,59.74,42
267243285,大圣旗舰店,250mg*200粒,"数量：3*价格：59.8,数量：6*价格：59.5",2025-06-06,20,13,59.8,105
202905548,药店品种预约中心,250mg*200粒,"数量：1*价格：66.5,数量：3*价格：61.5,数量：5*价格：60.5",2025-07-11,5,261,66.5,1098
257428095,药店品种预约中心,250mg*200粒,数量：2*价格：59.58,2025-09-02,2,1020,59.58,2040
257127137,药店品种预约中心,250mg*200粒,数量：2*价格：60.2,2025-09-02,2,301,60.2,602
223796031,新乾方,250mg*200粒,数量：2*价格：59.6,2025-07-12,2,2356,59.6,9832
234615893,山东零采医疗器械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,118,59.75,444
194485512,药店品种预约中心,250mg*200粒,数量：2*价格：59.75,2025-06-08,2,55,59.75,112
264506245,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-09-02,2,26,59.74,52
265278408,药店品种预约中心,250mg*200粒,"数量：1*价格：63.5,数量：2*价格：60.3,数量：4*价格：59.79",2025-09-02,4,15,63.5,44
266847722,红马医械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,7,59.75,26
267443784,药店品种预约中心,250mg*200粒,数量：2*价格：59.75,2025-06-08,2,7,59.75,14
267235057,东莞康洁,250mg*200粒,数量：2*价格：60.5,2025-08-11,5,6,60.5,16
265742425,药店品种预约中心,250mg*200粒,数量：4*价格：60.2,2025-09-02,4,34,60.2,136
262341965,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-09-02,2,18,59.74,36
266847719,红马医械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,4,59.75,21
267430984,药店品种预约中心,250mg*200粒,数量：2*价格：59.75,2025-06-08,2,4,59.75,8
262492914,成毅旗舰店,250mg*200粒,数量：3*价格：62.5,2025-08-16,3,34,62.5,102
264506250,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-09-02,2,30,59.74,60
183897104,养生阁,250mg*200粒,"数量：1*价格：64.5,数量：3*价格：62.5,数量：5*价格：61.8",2025-08-08,6,684,64.5,1363
215678521,广东森锐,250mg*200粒,"数量：2*价格：61.5,数量：5*价格：60.2",2025-08-11,5,46,61.5,151
229602404,红马医械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,382,59.75,1704
195169961,药店品种预约中心,250mg*200粒,数量：2*价格：60.3,2025-09-02,2,21,60.3,50
260216654,药店品种预约中心,250mg*200粒,数量：2*价格：60.2,2025-09-02,2,6,60.2,12
216801339,药店品种预约中心,250mg*200粒,数量：3*价格：62.8,2025-09-06,10,748,62.8,2346
215551270,药店品种预约中心,250mg*200粒,数量：3*价格：60.8,2025-08-07,3,1416,60.8,3761
250582411,国曜医药,250mg*200粒,"数量：2*价格：64.0,数量：5*价格：63.0,数量：15*价格：61.5",2025-08-11,1078,271,64.0,1833
250602430,国建医药,250mg*200粒,"数量：2*价格：64.0,数量：5*价格：63.0,数量：15*价格：61.5",2025-08-11,1078,24,64.0,305
260216517,药店品种预约中心,250mg*200粒,数量：2*价格：60.25,2025-09-02,2,81,60.25,162
257631778,金迈通,250mg*200粒,数量：3*价格：60.8,2025-08-07,3,11,60.8,33
260074334,福到鑫来,250mg*200粒,数量：3*价格：61.5,2025-07-11,3,20,61.5,60
230780501,药店品种预约中心,250mg*200粒,数量：3*价格：60.8,2025-08-07,3,132,60.8,396
256738243,千明医药,250mg*200粒,"数量：3*价格：61.8,数量：5*价格：61.0",2025-07-11,5,63,61.8,265
260181560,东莞锦华,250mg*200粒,"数量：3*价格：62.5,数量：5*价格：61.8",2025-09-01,9978,4,62.5,22
226096131,药店品种预约中心,250mg*200粒,"数量：3*价格：61.5,数量：5*价格：60.5",2025-07-11,5,25,61.5,152
243110072,非凡贸易,250mg*200粒,"数量：1*价格：68.0,数量：3*价格：63.0,数量：10*价格：60.5",2025-09-05,479,3,68.0,21
257139057,药店品种预约中心,250mg*200粒,数量：2*价格：60.5,2025-09-02,2,10,60.5,20
227713184,药店品种预约中心,250mg*200粒,数量：3*价格：60.5,2025-08-07,6,31,60.5,121
