产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
262301649,药店品种预约中心,250mg*200粒,数量：2*价格：59.3,2025-04-27,5,735,59.3,2144
223796031,新乾方,250mg*200粒,数量：2*价格：59.4,2025-07-12,2,2458,59.4,10036
260216152,药店品种预约中心,250mg*200粒,数量：2*价格：59.59,2025-04-15,2,1202,59.59,2404
229601192,山东零采医疗器械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,411,59.75,1685
234615893,山东零采医疗器械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,146,59.75,606
257428095,药店品种预约中心,250mg*200粒,数量：2*价格：59.58,2025-04-15,2,1119,59.58,2238
257127137,药店品种预约中心,250mg*200粒,数量：2*价格：60.2,2025-04-15,2,303,60.2,606
202905548,药店品种预约中心,250mg*200粒,"数量：1*价格：66.5,数量：3*价格：61.5,数量：5*价格：60.5",2025-07-11,5,267,66.5,1113
250602430,国建医药,250mg*200粒,"数量：2*价格：64.0,数量：5*价格：63.0,数量：15*价格：61.5",2025-10-16,424,28,64.0,379
267243285,大圣旗舰店,250mg*200粒,"数量：3*价格：59.8,数量：6*价格：59.5",2025-06-06,20,24,59.8,170
265742425,药店品种预约中心,250mg*200粒,数量：4*价格：60.2,2025-04-15,4,36,60.2,144
264506245,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-04-27,2,54,59.74,108
227620512,广州好易康,250mg*200粒,数量：3*价格：64.8,2025-04-16,71,57,64.8,1321
215551270,药店品种预约中心,250mg*200粒,数量：3*价格：60.5,2025-08-07,3,1418,60.5,3767
262492914,成毅旗舰店,250mg*200粒,数量：3*价格：62.5,2025-08-16,3,41,62.5,123
264506250,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-04-27,2,37,59.74,74
216801339,药店品种预约中心,250mg*200粒,数量：3*价格：62.8,2025-09-06,10,748,62.8,2346
250582411,国曜医药,250mg*200粒,"数量：2*价格：64.0,数量：5*价格：63.0,数量：15*价格：61.5",2025-10-16,424,273,64.0,1850
265278408,药店品种预约中心,250mg*200粒,"数量：1*价格：63.5,数量：2*价格：60.3,数量：4*价格：59.79",2025-04-27,4,21,63.5,53
260216517,药店品种预约中心,250mg*200粒,数量：2*价格：59.3,2025-04-27,2,84,59.3,168
229602404,红马医械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,386,59.75,1728
215678521,广东森锐,250mg*200粒,"数量：2*价格：61.5,数量：5*价格：60.2",2025-08-11,5,50,61.5,165
257631778,金迈通,250mg*200粒,数量：3*价格：60.8,2025-08-07,3,11,60.8,33
260074334,福到鑫来,250mg*200粒,数量：3*价格：61.5,2025-07-11,3,21,61.5,63
256738243,千明医药,250mg*200粒,"数量：3*价格：61.8,数量：5*价格：61.0",2025-07-11,5,63,61.8,265
230780501,金迈通,250mg*200粒,数量：3*价格：60.5,2025-08-07,3,132,60.5,396
262341965,药店品种预约中心,250mg*200粒,数量：2*价格：59.74,2025-04-27,2,18,59.74,36
257139057,药店品种预约中心,250mg*200粒,数量：2*价格：60.5,2025-04-15,2,11,60.5,22
260181560,东莞锦华,250mg*200粒,"数量：3*价格：62.5,数量：5*价格：61.8",2025-09-01,9928,5,62.5,72
183897104,养生阁,250mg*200粒,"数量：1*价格：64.5,数量：2*价格：62.5,数量：4*价格：61.8",2025-06-07,6,686,64.5,1366
234263107,东莞东盈,250mg*200粒,"数量：2*价格：60.5,数量：5*价格：60.2,数量：72*价格：59.9",2025-06-22,72,68,60.5,180
195169961,药店品种预约中心,250mg*200粒,数量：2*价格：60.3,2025-04-15,2,24,60.3,56
260216654,药店品种预约中心,250mg*200粒,数量：2*价格：60.2,2025-04-15,2,6,60.2,12
262341959,药店品种预约中心,250mg*200粒,数量：2*价格：60.9,2025-04-27,2,8,60.9,16
259218334,惠州民信堂,250mg*200粒,"数量：1*价格：66.0,数量：2*价格：63.8,数量：3*价格：63.5",2025-09-06,10,3,66.0,16
243110072,非凡贸易,250mg*200粒,"数量：1*价格：68.0,数量：3*价格：63.0,数量：10*价格：60.5",2025-09-05,479,3,68.0,21
224283107,红马医械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,230,59.75,805
227713184,药店品种预约中心,250mg*200粒,数量：3*价格：60.5,2025-08-07,6,31,60.5,121
227713209,药店品种预约中心,250mg*200粒,"数量：2*价格：61.0,数量：3*价格：60.5",2025-08-07,3,393,61.0,1189
260176891,成毅旗舰店,250mg*200粒,数量：3*价格：62.5,2025-08-16,3,13,62.5,45
257138983,药店品种预约中心,250mg*200粒,数量：2*价格：60.5,2025-04-15,2,8,60.5,16
194732216,福到鑫来,250mg*200粒,数量：3*价格：61.5,2025-08-02,3,993,61.5,4346
252877427,药店品种预约中心,250mg*200粒,数量：3*价格：61.8,2025-06-02,3,50,61.8,162
230361958,红马医械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,21,59.75,84
236864211,,250mg*200粒,数量：5*价格：61.5,2025-07-12,1327,43,61.5,321
257446303,浩天,250mg*200粒,"数量：3*价格：62.5,数量：5*价格：62.0",2025-08-12,118,1,62.5,5
112606850,五行医药,250mg*200粒,数量：5*价格：74.9,2025-07-01,40,40,74.9,367
255871322,山东零采医疗器械,250mg*200粒,数量：3*价格：59.75,2025-07-13,10,1,59.75,3
257631752,金迈通,250mg*200粒,数量：3*价格：60.8,2025-06-06,3,1,60.8,3
260176527,成毅旗舰店,250mg*200粒,数量：3*价格：62.5,2025-08-16,3,3,62.5,9
257446291,浩天,250mg*200粒,"数量：3*价格：62.5,数量：5*价格：62.0",2025-08-12,118,6,62.5,26
259115122,一本医疗,250mg*200粒,数量：3*价格：64.78,2025-03-06,10,1,64.78,3
255967195,泓联器械,250mg*200粒,数量：2*价格：66.0,2025-06-20,46,1,66.0,3
228621079,山东零采医疗器械,250mg*200粒,"数量：1*价格：68.99,数量：3*价格：59.75",2025-07-13,10,20,68.99,25
262341967,药店品种预约中心,250mg*200粒,数量：2*价格：60.8,2025-04-27,4,2,60.8,6
242961746,养生阁,250mg*200粒,"数量：2*价格：61.8,数量：4*价格：61.2",2025-06-07,6,25,61.8,74
194801086,浩天,250mg*200粒,"数量：2*价格：62.5,数量：5*价格：62.0",2025-09-24,99995,2,62.5,4
198133050,东莞东盈,250mg*200粒,"数量：1*价格：64.5,数量：2*价格：63.2,数量：4*价格：62.6,数量：5*价格：61.8",2025-06-22,5,21,64.5,63
260812770,药店品种预约中心,250mg*200粒,"数量：1*价格：64.0,数量：2*价格：62.5,数量：4*价格：61.5",2025-06-29,20,5,64.0,10
255987934,兰旗医疗,250mg*200粒,"数量：1*价格：64.5,数量：5*价格：63.8,数量：10*价格：63.0,数量：12*价格：62.5",2025-04-27,4964,14,64.5,36
