产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
199164645,百年众生,30g(0.5g*60粒),数量：2*价格：31.8,2025-10-03,1000,228,31.8,2287
216809937,唯康医药,30g(0.5g*60粒),"数量：6*价格：19.8,数量：10*价格：19.5,数量：30*价格：18.8,数量：600*价格：8.5",2025-08-01,384,43,19.8,316
265142263,百鸥,30g(0.5g*60粒),"数量：5*价格：23.0,数量：10*价格：22.3",2025-09-09,25,6,23.0,30
195117477,药店品种预约中心,0.5g*60粒,"数量：1*价格：23.5,数量：5*价格：20.0,数量：10*价格：18.0,数量：80*价格：17.5",2025-10-07,330,5,23.5,143
260375206,湖南德康堂,0.5g*60粒,数量：1*价格：29.0,2025-10-03,889,7,29.0,111
237660627,云圳,30g(0.5g*60粒),"数量：6*价格：19.6,数量：10*价格：19.4,数量：30*价格：18.8,数量：300*价格：8.3",2025-10-03,187,11,19.6,75
265704702,唯康医药,30g(0.5g*60粒),数量：6*价格：19.8,2025-06-01,14,1,19.8,6
262531481,敬伟医疗,30g(0.5g*60粒),"数量：6*价格：20.8,数量：10*价格：19.8",2025-08-15,85,4,20.8,32
172074687,药店品种预约中心,0.5g*60粒,"数量：1*价格：23.5,数量：5*价格：20.0,数量：10*价格：18.0,数量：80*价格：17.8",2025-10-07,330,62,23.5,628
202274456,南京同仁堂,0.5g*60粒,数量：2*价格：31.8,2025-10-03,1000,15,31.8,157
274405334,南京同仁堂,30g(0.5g*60粒),数量：2*价格：28.0,2025-09-09,4,1,28.0,2
196618137,药店品种预约中心,30g(0.5g*60粒),"数量：10*价格：19.3,数量：30*价格：19.0,数量：120*价格：17.8",2025-06-01,84,7,19.3,116
273965025,药店品种预约中心,30g(0.5g*60粒),数量：6*价格：19.5,2025-06-01,20,0,19.5,0
273962337,唯康医药,30g(0.5g*60粒),"数量：10*价格：19.5,数量：20*价格：19.3,数量：60*价格：18.8",2025-08-01,200,0,19.5,0
265705074,唯康医药,30g(0.5g*60粒),数量：10*价格：19.5,2025-06-01,20,0,19.5,0
202451284,药店品种预约中心,30g(0.5g/粒*60粒/),"数量：6*价格：19.5,数量：20*价格：19.3,数量：40*价格：19.0,数量：60*价格：18.8",2025-06-01,200,3,19.5,12
273965010,药店品种预约中心,30g(0.5g/粒*60粒/),数量：6*价格：19.8,2025-08-01,240,0,19.8,0
211375864,唯康医药,30g(0.5g*60粒),"数量：10*价格：19.8,数量：60*价格：17.5,数量：120*价格：17.3,数量：200*价格：12.0",2025-06-01,160,12,19.8,140
198265684,药店品种预约中心,30g(0.5粒*60粒),"数量：2*价格：19.8,数量：10*价格：18.0",2025-05-05,20,18,19.8,126
