产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
248284333,洁玲,380ml,数量：6*价格：11.49,2024-09-13,3490,136,11.49,1510
226571019,康汇,380ml,"数量：6*价格：12.6,数量：18*价格：12.38",2025-08-25,114,762,12.6,8700
195115391,湖南德康堂,380ml,"数量：6*价格：11.85,数量：50*价格：11.75",2024-09-13,999,122,11.85,1624
262441651,湖南德康堂,380ml,"数量：6*价格：11.85,数量：50*价格：11.7",2024-09-13,4733,27,11.85,267
267137637,药盛丰,380ml,数量：20*价格：11.7,2024-09-13,100,5,11.7,100
266195307,耀都云杉,380ml,数量：10*价格：12.38,2025-06-21,50,4,12.38,40
267237469,非凡贸易,380ml,数量：6*价格：11.9,2024-12-12,468,5,11.9,30
246017179,药盛丰,380ml,数量：10*价格：11.9,2024-09-13,100,412,11.9,4943
263032708,利安堂,380ml,数量：6*价格：12.6,2025-08-04,4803,24,12.6,197
191987801,康汇,380ml,数量：6*价格：12.8,2025-09-23,60,218,12.8,2130
267219358,药好找,380ml,数量：20*价格：12.5,2025-03-16,50,3,12.5,60
212881651,洁玲,380ml,数量：6*价格：12.75,2025-06-01,1000,16,12.75,218
262441473,洁玲,380ml,数量：6*价格：11.49,2024-09-13,8086,12,11.49,98
264991270,药店品种预约中心,380ml,数量：6*价格：11.0,2024-08-09,40,6,11.0,42
262441654,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,4972,4,12.29,28
260403023,洁玲,380ml,数量：6*价格：11.49,2024-09-13,8086,7,11.49,114
259988609,洁玲,380ml,"数量：6*价格：11.7,数量：50*价格：11.59",2024-09-13,1000,4,11.7,36
259993435,洁玲,380ml,数量：6*价格：12.29,2025-06-05,5000,6,12.29,36
195461012,药店品种预约中心,380ml,数量：6*价格：12.8,2025-09-23,200,3,12.8,20
265353616,康多多,380ml,数量：20*价格：12.96,2025-03-02,50,1,12.96,20
216096163,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,999,31,12.29,301
267237403,非凡贸易,380ml,数量：6*价格：11.9,2024-12-12,486,1,11.9,12
267141566,五行医药,380ml,数量：7*价格：12.38,2024-12-01,50,1,12.38,7
266615539,湖南德康堂,380ml,"数量：6*价格：11.7,数量：50*价格：11.6",2024-05-03,7200,1,11.7,6
247907867,洁玲,380ml,"数量：6*价格：11.7,数量：50*价格：11.6",2024-09-13,1000,10,11.7,138
198158759,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,7077,300,12.29,2922
195115392,湖南德康堂,380ml,数量：6*价格：12.29,2025-06-05,9987,2,12.29,12
260269464,江西瀚霆药业,380ml,"数量：6*价格：13.0,数量：30*价格：12.37",2025-06-16,993,1,13.0,6
234750172,药店品种预约中心,380ml,数量：6*价格：13.5,2025-07-16,6,1,13.5,6
