产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
245888002,普宁永祥,3只,"数量：6*价格：11.88,数量：12*价格：11.24,数量：24*价格：10.85",2028-07-30,322,10,11.88,534
194425719,鲁鸿医疗,3只,"数量：6*价格：11.5,数量：12*价格：11.2,数量：24*价格：10.99",2027-02,72,341,11.5,4335
226495471,紫芊,3只,"数量：6*价格：11.5,数量：12*价格：11.2,数量：24*价格：10.99",2028-04-30,3427,207,11.5,3178
259906302,湖南德康堂,3只,"数量：12*价格：11.1,数量：32*价格：10.9",2027-02-28,1706,16,11.1,396
262489776,美东盈,3只,"数量：6*价格：13.6,数量：12*价格：13.28,数量：24*价格：12.98,数量：48*价格：12.58",2028-07-31,690,5,13.6,214
263157474,湖南德康堂,3只,"数量：12*价格：11.1,数量：32*价格：10.9",2027-02-28,1706,4,11.1,106
252975643,械乐康,3只,数量：12*价格：10.95,2028-07,608,8,10.95,140
230169703,武汉锦俊凯,3只,数量：24*价格：11.2,2028-08-01,6863,6,11.2,156
194542514,洁玲,3只,数量：12*价格：10.98,2028-04-30,1000,75,10.98,1429
265360718,普宁永祥,3只,数量：24*价格：10.85,2028-07-30,322,2,10.85,74
262489777,美东盈,3只,"数量：6*价格：13.9,数量：12*价格：13.48,数量：24*价格：12.98,数量：48*价格：12.69",2028-07-31,690,1,13.9,48
196047905,浙江瑞文,3只,数量：10*价格：11.2,2028-03-01,106,62,11.2,1065
195219635,晶译堂,3只,数量：10*价格：11.45,2027-12-31,74,27,11.45,406
226564203,惠州康华,3只,数量：10*价格：11.2,2028-02-28,742,7,11.2,132
258902265,美络康,3只,"数量：10*价格：11.5,数量：24*价格：11.3,数量：48*价格：10.95",2028-04-30,3379,5,11.5,126
211210631,养生阁,3只,数量：24*价格：11.1,2028-07-31,521,2,11.1,48
257440665,恒源医疗,3只,"数量：12*价格：11.2,数量：24*价格：10.99",2028-04-30,24,1,11.2,12
209224873,恒源医疗,3只,"数量：6*价格：11.2,数量：12*价格：10.8",2028-04-30,48,5,11.2,42
196643307,紫芊,3只,数量：6*价格：11.3,2028-04-30,3427,3,11.3,23
264918382,松夏问药,3只,数量：12*价格：11.65,2028-04,72,1,11.65,12
257476647,武汉锦俊凯,3只,数量：12*价格：12.0,2028-02-01,633,1,12.0,12
224671444,恩宇,3只,"数量：12*价格：13.6,数量：24*价格：13.28",2028-03-07,99975,2,13.6,24
263090114,东莞东盈,3只,"数量：6*价格：15.8,数量：12*价格：15.48,数量：24*价格：14.98,数量：48*价格：14.78",2028-06-30,988,1,15.8,12
256152922,楚康通,3只,数量：10*价格：13.2,2028-03-31,443,1,13.2,10
260553283,成都墨芑,3只,数量：6*价格：11.9,2028-05-31,167,5,11.9,30
17295823,帝豪旗舰店,3只,"数量：8*价格：13.92,数量：12*价格：13.52,数量：18*价格：13.12",2028-03-31,1000,2401,13.92,154241
129092052,杜蕾斯共谐店,3只,数量：5*价格：14.0,2027-02-28,61,24,14.0,176
178481101,成都墨芑,3只,数量：6*价格：11.9,2028-05-31,167,27,11.9,156
88712690,兰旗医疗,3只,数量：12*价格：15.0,2027-05-31,49,1,15.0,3
262528805,御玖堂,3只,"数量：2*价格：15.91,数量：5*价格：14.32,数量：15*价格：13.26",2027-09-30,310,1,15.91,2
115920867,杜蕾斯,3只,数量：20*价格：1.5,2027-08,138,25,1.5,550
115810828,杜蕾斯共谐店,3只,数量：20*价格：1.5,2027-08,324,32,1.5,800
150582302,杜蕾斯,3只,数量：10*价格：2.0,2027-12-31,114,2,2.0,20
150577338,杜蕾斯,3只,数量：10*价格：2.0,2027-11-30,66,0,2.0,0
150482413,杜蕾斯共谐店,3只,数量：10*价格：2.0,2027-12-31,120,8,2.0,90
150466490,杜蕾斯共谐店,3只,数量：10*价格：2.0,2027-12-31,260,0,2.0,0
150460120,杜蕾斯共谐店,3只,数量：10*价格：2.0,2027-11-30,150,5,2.0,60
128142453,杜蕾斯共谐店,3只,数量：10*价格：2.5,2026-06-30,1200,0,2.5,0
128123538,杜蕾斯,3只,数量：20*价格：3.0,2026-04-30,1200,0,3.0,0
116059887,杜蕾斯,3只,数量：8*价格：3.5,2027-09,149,0,3.5,0
267165927,杜蕾斯,3只,数量：20*价格：4.07,2028-01-31,60,0,4.07,0
118099736,杜蕾斯共谐店,3只,数量：10*价格：5.0,2027-03-31,1084,14,5.0,172
118097018,杜蕾斯共谐店,3只,数量：10*价格：5.0,2027-03-30,776,0,5.0,0
118027704,杜蕾斯,3只,数量：10*价格：5.0,2026-09-09,1200,0,5.0,0
118016530,杜蕾斯,3只,数量：10*价格：5.0,2028-01-31,351,6,5.0,70
267160870,杜蕾斯,3只,数量：10*价格：5.58,2028-03-31,30,0,5.58,0
267132497,健康之家,3只,数量：12*价格：5.99,2028-06-30,15,0,5.99,0
209973347,杜蕾斯共谐店,3只,数量：5*价格：6.0,2027-11-30,145,4,6.0,30
118061868,杜蕾斯,3只,数量：8*价格：6.0,2027-12-31,36,0,6.0,0
157208140,心泰医疗,3只,数量：24*价格：6.17,2027-05-28,608,0,6.17,0
247400118,东莞市美东食品商贸,3只,数量：12*价格：6.48,2028-08-31,5000,0,6.48,0
191896058,杜蕾斯共谐店,3只,数量：3*价格：6.5,2028-02-29,469,0,6.5,0
112432291,杜蕾斯,3只,数量：5*价格：6.75,2027-12-31,25,0,6.75,0
120304830,杜蕾斯共谐店,3只,数量：5*价格：7.5,2026-06-30,1200,13,7.5,75
113444069,杜蕾斯共谐店,3只,数量：5*价格：7.5,2027-12-31,59,0,7.5,0
267132503,药之道,3只,数量：10*价格：7.95,2028-05-01,30,0,7.95,0
154105642,杜蕾斯共谐店,3只,数量：3*价格：8.0,2028-02-29,1200,0,8.0,0
