产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
194542514,洁玲,3只,数量：12*价格：10.98,2028-04-30,1000,80,10.98,1497
226495471,紫芊,3只,"数量：6*价格：11.5,数量：12*价格：11.2,数量：24*价格：10.99",2028-04-30,2816,234,11.5,3556
194425719,鲁鸿医疗,3只,"数量：6*价格：11.5,数量：12*价格：11.2,数量：24*价格：10.99",2027-02,72,359,11.5,4627
258902265,美络康,3只,"数量：10*价格：11.5,数量：24*价格：11.3,数量：48*价格：10.95",2028-04-30,2816,12,11.5,315
265360718,普宁永祥,3只,数量：24*价格：10.85,2028-07-30,240,6,10.85,242
245888002,普宁永祥,3只,"数量：6*价格：11.88,数量：12*价格：11.24,数量：24*价格：10.85",2028-07-30,240,14,11.88,592
196047905,浙江瑞文,3只,数量：10*价格：11.2,2028-03-01,22,65,11.2,1149
209224873,恒源医疗,3只,"数量：6*价格：11.2,数量：12*价格：10.8",2028-04-30,48,11,11.2,138
263157474,湖南德康堂,3只,"数量：12*价格：11.1,数量：32*价格：10.9",2027-02-28,1706,4,11.1,106
230169703,武汉锦俊凯,3只,数量：24*价格：11.2,2028-08-01,5268,6,11.2,180
226564203,惠州康华,3只,数量：10*价格：11.2,2028-02-28,682,13,11.2,192
257440665,恒源医疗,3只,"数量：12*价格：11.2,数量：24*价格：10.99",2028-04-30,24,5,11.2,72
262489777,美东盈,3只,"数量：6*价格：13.9,数量：12*价格：13.48,数量：24*价格：12.98,数量：48*价格：12.69",2028-07-31,690,1,13.9,48
259906302,湖南德康堂,3只,"数量：12*价格：11.1,数量：32*价格：10.9",2027-02-28,1706,18,11.1,428
260553283,成都墨芑,3只,数量：6*价格：11.9,2028-05-31,608,11,11.9,59
256152922,楚康通,3只,数量：10*价格：13.2,2028-03-31,413,4,13.2,40
216252357,鲁鸿医疗,3只,"数量：12*价格：11.15,数量：24*价格：10.99",2028-03,200,24,11.15,468
18864978,采药易,3只,"数量：8*价格：13.92,数量：12*价格：13.52,数量：18*价格：13.12",2027-06-30,947,2406,13.92,154461
17295823,帝豪旗舰店,3只,"数量：8*价格：13.92,数量：12*价格：13.52,数量：18*价格：13.12",2028-03-31,1000,2406,13.92,154461
224671444,恩宇,3只,"数量：12*价格：13.6,数量：24*价格：13.28",2028-03-07,99975,2,13.6,24
195219635,晶译堂,3只,数量：10*价格：11.45,2027-12-31,74,27,11.45,406
129092052,杜蕾斯共谐店,3只,数量：5*价格：14.0,2027-02-28,61,24,14.0,176
196643307,紫芊,3只,数量：6*价格：11.3,2028-04-30,2816,4,11.3,29
