产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
250763400,药店品种预约中心,48g(0.4g*120粒),"数量：1*价格：259.9,数量：3*价格：259.0",2025-07-13,15,49,259.9,85
215690918,广东森锐,8g(0.4g*20粒),"数量：2*价格：57.0,数量：4*价格：56.38",2025-07-17,10,529,57.0,1774
256230625,平野医疗,8g(0.4g*20粒),数量：2*价格：56.49,2025-06-01,893,46,56.49,105
223653145,东莞康洁,48g(0.4g/粒*120粒),"数量：1*价格：267.0,数量：2*价格：266.0",2025-06-16,10,47,267.0,96
256036670,佛山海宏,48g(0.4g*120粒),"数量：1*价格：266.78,数量：2*价格：264.0,数量：5*价格：261.99",2025-05-15,10,47,266.78,308
261052986,东莞益众康,8g(0.4g*20粒),"数量：3*价格：57.5,数量：5*价格：57.0,数量：10*价格：56.7",2025-07-17,20,147,57.5,655
221830008,佛山一药旗舰店,48g(0.4g*20粒*6小盒),"数量：1*价格：266.0,数量：2*价格：264.0,数量：5*价格：262.0",2025-07-30,10,606,266.0,1019
168853907,药店品种预约中心,3.2g(0.4g/粒*8粒),"数量：1*价格：15.0,数量：3*价格：13.0,数量：10*价格：11.5,数量：100*价格：10.5",2024-03,102,7,15.0,628
267942132,药店品种预约中心,0.4g*120粒,"数量：1*价格：265.0,数量：2*价格：262.0,数量：4*价格：260.0",2025-07-20,60,47,265.0,97
268911952,药店品种预约中心,48g(0.4g*120粒),"数量：2*价格：262.0,数量：4*价格：260.0",2025-07-30,4,18,262.0,46
260155720,广东森锐,8g(0.4g*20粒),数量：2*价格：57.0,2025-07-17,20,4,57.0,34
248493697,药店品种预约中心,48g(0.4g*120粒),"数量：2*价格：261.0,数量：4*价格：260.0",2025-07-29,4,19,261.0,42
266478793,药店品种预约中心,48g(0.4g*120粒),"数量：1*价格：262.0,数量：2*价格：260.0,数量：6*价格：259.0",2025-07-30,6,19,262.0,31
262699365,药店品种预约中心,48g(0.4g*120粒),数量：1*价格：264.5,2025-06-24,5,141,264.5,210
194140488,药店品种预约中心,48g(0.4g*120粒),"数量：1*价格：265.0,数量：2*价格：262.0,数量：4*价格：260.0",2025-04-01,10,9,265.0,20
267407950,药店品种预约中心,48g(0.4g*120粒),"数量：1*价格：270.0,数量：2*价格：269.0",2025-06-16,12,4,270.0,19
262706474,广东正医药业,8g(0.4g*20粒),数量：2*价格：56.5,2025-05-14,3,9,56.5,21
215682411,壹川,8g(0.4g/粒×20粒),"数量：2*价格：58.8,数量：4*价格：58.5,数量：10*价格：57.8",2025-07-17,30,41,58.8,108
250623750,东莞扬康,3.2g(0.4g/粒*8粒),"数量：10*价格：20.88,数量：20*价格：18.99",2025-04-25,20,2,20.88,20
259794757,国曜医药,48g(0.4g*120粒),"数量：1*价格：271.95,数量：3*价格：271.0,数量：5*价格：269.9",2025-07-13,176,2,271.95,38
255672705,诚锐,48g(0.4g*120粒),"数量：1*价格：265.0,数量：2*价格：263.0,数量：4*价格：262.0",2025-01-31,180,4,265.0,6
195188278,佛山一药旗舰店,48g(0.4g*120粒),数量：2*价格：266.0,2025-03-08,10,15,266.0,25
269832618,叶丰源,48g(0.4g*120粒),"数量：1*价格：268.8,数量：2*价格：266.8,数量：4*价格：265.8",2025-06-16,200,1,268.8,5
247243284,广州好易康,48g(0.4g/粒*120粒),"数量：1*价格：269.8,数量：2*价格：268.8",2025-05-15,10,8,269.8,11
236883610,平野医疗,8g(0.4g*20粒),数量：2*价格：56.49,2025-06-01,100,9,56.49,19
238723866,药店品种预约中心,48g(0.4g*20粒*6小盒),"数量：2*价格：261.0,数量：4*价格：259.99",2025-07-29,4,9,261.0,20
262577015,正邦贸易,0.4g*120粒,数量：2*价格：264.0,2027-07-01,10,1,264.0,4
204319468,佛山一药旗舰店,48g(0.4g*20粒*6小盒),数量：2*价格：264.0,2025-07-30,10,100,264.0,206
