产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
248471804,洁玲,23g/盒,数量：20*价格：8.8,2025-09-01,1259,26,8.8,650
265304099,洁玲,23g/盒,数量：20*价格：8.8,2025-09-01,1259,20,8.8,450
262548629,药店品种预约中心,25g,"数量：10*价格：3.99,数量：20*价格：3.5",2025-04-01,950,5,3.99,50
230587110,湖南德康堂,23g,"数量：10*价格：9.0,数量：40*价格：8.8",2025-08-24,2152,506,9.0,7847
243875828,哈医佰益,23g/盒,"数量：10*价格：8.99,数量：20*价格：8.9,数量：40*价格：8.78,数量：100*价格：8.76",2025-09-01,400,42,8.99,710
246202749,美络康,23g/盒,"数量：10*价格：9.1,数量：20*价格：9.08,数量：30*价格：9.05,数量：100*价格：8.99",2025-09-01,1291,22,9.1,260
230665920,药店品种预约中心,23g,数量：10*价格：10.5,2025-08-25,320,7,10.5,80
270040076,药店品种预约中心,25g,"数量：10*价格：3.99,数量：20*价格：3.5",2025-04-01,1000,0,3.99,0
260152430,药店品种预约中心,25g,"数量：10*价格：3.99,数量：20*价格：3.5",2025-04-01,1000,0,3.99,0
237117276,卓弘,25g,"数量：10*价格：3.99,数量：20*价格：3.5",2025-04-01,1000,0,3.99,0
251670980,美络康,23g/盒,"数量：10*价格：9.1,数量：20*价格：9.08,数量：30*价格：9.05,数量：100*价格：8.99",2025-09-01,1291,5,9.1,50
228235555,同瑞健,23g,数量：20*价格：9.25,2025-09-01,400,31,9.25,645
252906604,昌信恒,23g,数量：40*价格：9.35,2025-09-01,400,0,9.35,0
228803477,益恩健,23g/支,数量：20*价格：9.49,2025-08-24,780,0,9.49,0
